tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0115218,2,26,0,Iron Man,1994,1996,0,6.6,3514
tt0115226,2,52,0,The Real Adventures of Jonny Quest,1996,1997,0,7.7,2676
tt0115228,3,40,0,Jumanji,1996,1999,0,6.3,1990
tt0115231,4,62,0,Kenan & Kel,1996,2023,0,7.8,16402
tt0115243,4,61,0,Lexx,1996,2002,0,7.3,8389
tt0115257,3,66,0,Madeline,1989,2001,0,6.8,1768
tt0115259,4,89,0,Malcolm & Eddie,1996,2000,0,6.6,1615
tt0115270,3,67,0,Millennium,1996,1999,0,8,11890
tt0115279,2,22,0,Muppets Tonight,1996,1998,0,7.7,2082
tt0115317,4,87,0,Poltergeist: The Legacy,1996,1999,0,6.9,1911
tt0115320,4,86,0,The Pretender,1996,2000,0,7.5,16738
tt0115322,4,82,0,Profiler,1996,2000,0,7.2,4344
tt0115326,4,88,0,PSI Factor: Chronicles of the Paranormal,1996,2000,0,7.1,1923
tt0115351,4,65,0,The Sentinel,1996,1999,0,6.5,2561
tt0115376,4,93,0,Suddenly Susan,1996,2000,0,5.8,3271
tt0115378,3,54,0,Superman: The Animated Series,1996,2000,0,8.1,17047
tt0115390,2,32,0,This Life,1996,1997,0,8.5,2514
tt0115674,2,89,0,BeetleBorgs,1996,1998,0,6.2,1435
tt0118266,2,24,0,The New Batman Adventures,1997,1999,0,8.4,18452
tt0118273,2,7,0,Brass Eye,1997,2001,0,8.6,11282
tt0118289,4,52,0,Cow and Chicken,1997,1999,0,6.5,21264
tt0118346,2,44,0,The Hunger,1997,2000,0,6.2,1078
tt0118360,4,67,0,Johnny Bravo,1997,2004,0,7.2,38310
tt0118466,3,51,0,Smart Guy,1997,1999,0,7.4,5422
tt0118475,3,20,0,Spawn,1997,1999,0,8.1,9631
tt0118497,3,16,0,Touching Evil,1997,1999,0,7.8,2126
tt0118506,3,67,0,Veronica's Closet,1997,2000,0,5.7,2336
tt0118984,2,30,0,Dilbert,1999,2000,0,7.3,5855
tt0120948,3,21,0,Czterej pancerni i pies,1966,Ongoing,0,7.8,1596
tt0121967,2,12,0,Wild & Crazy Kids,1990,2002,0,7.4,1274
tt0122353,4,48,0,KaBlam!,1996,2000,0,7.9,2878
tt0122579,2,14,0,The Lakes,1997,1999,0,8.1,1038
tt0122837,3,39,0,Tales from the Cryptkeeper,1993,1999,0,7.5,1481
tt0124218,4,26,0,"You Rang, M'Lord?",1988,1993,0,8.7,3507
tt0125622,3,68,0,"Honey, I Shrunk the Kids: The TV Show",1997,2000,0,6,1615
tt0126158,2,130,0,He-Man and the Masters of the Universe,1983,1985,0,7.5,19460
tt0126171,2,93,0,She-Ra: Princess of Power,1985,1987,0,6.8,6556
tt0126173,2,27,0,SWAT Kats: The Radical Squadron,1993,1995,0,8.4,4685
tt0127376,4,27,0,Hetty Wainthropp Investigates,1996,1998,0,7.6,1901
tt0127382,2,14,0,Kenny Starfighter,1997,2022,0,7.5,1383
tt0127385,4,53,0,Men in Black: The Series,1997,2001,0,6.8,4135
tt0129690,2,12,0,I'm Alan Partridge,1997,2002,0,8.6,21465
